"filename", "language", "Markdown", "JSON", "MS SQL", "YAML", "HTML", "CMake", "C++", "Swift", "XML", "Dart", "Python", "Properties", "comment", "blank", "total"
"f:\Projects\ktracer_center\lib\widgets\device_details\vlan_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 3, 23, 230
"f:\Projects\ktracer_center\lib\widgets\device_details\vlan_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 1, 16, 200
"f:\Projects\ktracer_center\lib\widgets\device_details\vlan_multi_select.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 2, 18, 257
"f:\Projects\ktracer_center\lib\widgets\ip_address_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 17, 96
"f:\Projects\ktracer_center\lib\widgets\title_bar_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"f:\Projects\ktracer_center\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"f:\Projects\ktracer_center\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"f:\Projects\ktracer_center\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 5, 36
"f:\Projects\ktracer_center\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"f:\Projects\ktracer_center\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"f:\Projects\ktracer_center\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"f:\Projects\ktracer_center\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\Projects\ktracer_center\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 26, 29, 159
"f:\Projects\ktracer_center\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"f:\Projects\ktracer_center\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 4, 27
"f:\Projects\ktracer_center\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"f:\Projects\ktracer_center\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"f:\Projects\ktracer_center\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"f:\Projects\ktracer_center\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"f:\Projects\ktracer_center\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"f:\Projects\ktracer_center\migrations\001_simplified_schema.sql", "MS SQL", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 22, 157
"f:\Projects\ktracer_center\migrations\002_device_locks.sql", "MS SQL", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 60
"f:\Projects\ktracer_center\migrations\003_device_locks_real_id.sql", "MS SQL", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 14
"f:\Projects\ktracer_center\pubspec.yaml", "YAML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"f:\Projects\ktracer_center\web\index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"f:\Projects\ktracer_center\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"f:\Projects\ktracer_center\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"f:\Projects\ktracer_center\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"f:\Projects\ktracer_center\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 5, 30
"f:\Projects\ktracer_center\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"f:\Projects\ktracer_center\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"f:\Projects\ktracer_center\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"f:\Projects\ktracer_center\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 8, 16, 82
"f:\Projects\ktracer_center\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"f:\Projects\ktracer_center\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 12, 52
"f:\Projects\ktracer_center\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"f:\Projects\ktracer_center\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"f:\Projects\ktracer_center\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"f:\Projects\ktracer_center\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"f:\Projects\ktracer_center\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 5, 248, 141, 25, 19, 473, 618, 69, 470, 7074, 1000, 8, 731, 1370, 12251
